phone number,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls
379-2503,219,78,9.86,11.3,5,3.05,5
364-3286,242.7,131,10.92,6.8,7,1.84,4
420-8897,230.6,106,10.38,17.3,4,4.67,1
351-7309,210.3,78,9.46,7.2,3,1.94,1
401-6982,218.4,106,9.83,12.8,4,3.46,2
328-7833,117,102,5.27,4.7,4,1.27,5
342-8167,204.3,115,9.19,10.7,2,2.89,3
348-4316,214.3,91,9.64,7.8,2,2.11,4
375-3826,239.9,122,10.8,9.8,5,2.65,2
356-5475,187.4,98,8.43,9.4,1,2.54,6
371-6284,168.7,82,7.59,10,2,2.7,3
410-7611,190.6,89,8.58,13.8,2,3.73,1
340-6908,204,85,9.18,13.5,9,3.65,1
399-2457,203.7,129,9.17,13.1,7,3.54,2
358-2490,269.1,126,12.11,5.8,3,1.57,2
349-3112,176.7,126,7.95,10.1,2,2.73,1
391-1737,215.4,89,9.69,9,6,2.43,4
352-5466,147.1,76,6.62,5.8,3,1.57,1
364-5510,280.5,127,12.62,8.8,4,2.38,1
416-6886,227.2,124,10.22,10.1,2,2.73,9
344-1136,176,89,7.92,7.4,2,2,2
378-6276,189.7,145,8.54,9.1,6,2.46,6
343-2592,240.5,93,10.82,8.9,5,2.4,1
396-4410,170.1,105,7.65,10.6,4,2.86,0
347-3406,148.1,87,6.66,13.2,5,3.56,1
352-7752,183.5,113,8.26,11.4,1,3.08,1
388-9285,104.9,120,4.72,15.3,4,4.13,5
333-4594,129.9,113,5.85,6.4,6,1.73,1
388-2240,214,112,9.63,13.4,6,3.62,1
373-4264,162.9,97,7.33,7.5,1,2.03,1
354-5689,275.9,106,12.42,9,3,2.43,5
328-8980,207.1,88,9.32,8.9,4,2.4,2
399-2151,154.4,102,6.95,11.6,2,3.13,2
379-9524,177.3,94,7.98,10.9,3,2.94,4
350-7114,212,64,9.54,11.3,3,3.05,6
353-9998,182.1,119,8.19,13.3,3,3.59,4
409-9911,321.2,101,14.45,8.3,4,2.24,4
379-6970,174.2,101,7.84,10.7,4,2.89,2
332-6139,213.6,80,9.61,4.3,2,1.16,1
415-4564,145.2,95,6.53,10.2,6,2.75,1
414-7090,192.7,131,8.67,11.7,2,3.16,3
332-2889,153.5,109,6.91,10.5,6,2.84,4
412-1991,285,78,12.83,11.3,3,3.05,5
372-8883,184.9,88,8.32,12,2,3.24,5
330-2635,245,75,11.03,6.4,1,1.73,0
408-3262,239.5,120,10.78,12.3,6,3.32,2
410-3159,156.6,61,7.05,9.2,5,2.48,2
344-5181,195,64,8.78,9,1,2.43,0
384-7236,178,118,8.01,10.7,2,2.89,3
408-5322,175.3,130,7.89,9.5,3,2.57,1
409-2983,105.4,94,4.74,9.3,2,2.51,2
378-9542,123.4,63,5.55,10.4,7,2.81,1
344-1970,168.6,94,7.59,12.8,4,3.46,1
333-9002,251.2,129,11.3,15.5,3,4.19,1
329-6731,170.3,95,7.66,12.9,5,3.48,4
395-1901,240.3,100,10.81,8.8,5,2.38,1
348-1163,217.5,107,9.79,11.8,8,3.19,1
337-4600,166.1,80,7.47,8.4,4,2.27,1
354-7397,233.8,103,10.52,8.8,4,2.38,0
397-3746,128.9,118,5.8,11.4,2,3.08,2
332-5820,182.9,121,8.23,16.1,3,4.35,1
357-1938,107.3,84,4.83,12.2,2,3.29,0
409-4671,227,76,10.22,11.1,2,3,3
376-5213,203.9,107,9.18,11.6,2,3.13,0
402-3370,209.5,111,9.43,6.7,3,1.81,1
382-8079,157.6,106,7.09,12.1,2,3.27,2
373-6922,233.4,99,10.5,13.4,4,3.62,0
347-8659,132.9,118,5.98,13.4,2,3.62,4
382-2182,161.2,62,7.25,13.7,6,3.7,2
369-6890,198.5,118,8.93,14.4,3,3.89,1
420-6324,308.9,130,13.9,12.1,2,3.27,1
383-9306,256.9,71,11.56,9.2,10,2.48,0
369-1929,216.1,73,9.72,6.7,5,1.81,3
359-7426,198.7,66,8.94,7.3,3,1.97,4
415-6347,208.8,81,9.4,13.3,9,3.59,0
390-9735,271.7,117,12.23,17,6,4.59,1
343-2689,187.1,74,8.42,10.1,3,2.73,0
359-6232,259,121,11.66,12.3,5,3.32,3
388-7540,218,69,9.81,8.5,5,2.3,3
389-4608,191.7,87,8.63,8.9,3,2.4,1
328-9797,202.1,94,9.09,14.7,4,3.97,0
418-8568,217.5,104,9.79,9.5,11,2.57,2
405-3309,243.1,128,10.94,13.9,6,3.75,0
384-4938,126.7,123,5.7,16.9,2,4.56,5
355-9366,213.3,76,9.6,13.3,3,3.59,0
343-1347,174.1,115,7.83,10.2,2,2.75,2
376-4292,283.6,83,12.76,6.2,1,1.67,0
352-5787,263.4,81,11.85,14.2,4,3.83,0
415-3537,172.9,90,7.78,5.9,2,1.59,4
373-3959,186.3,76,8.38,6.1,5,1.65,2
358-1346,192.2,137,8.65,13.2,3,3.56,0
401-9665,230.9,92,10.39,10.9,3,2.94,3
399-5291,137.9,109,6.21,9.2,3,2.48,5
409-6588,224.7,128,10.11,9,6,2.43,6
330-5824,173.2,100,7.79,10.9,3,2.94,0
403-6187,192,53,8.64,11,2,2.97,0
358-3692,195.3,99,8.79,18.3,6,4.94,1
391-2159,140.1,111,6.3,10.3,3,2.78,0
406-4100,187.6,78,8.44,13.1,5,3.54,0
347-2016,214.9,100,9.67,10.3,4,2.78,5
388-8948,251.9,129,11.34,6.3,6,1.7,4
363-8033,306.2,100,13.78,14.2,2,3.83,2
328-9267,185.2,107,8.33,8.6,6,2.32,2
376-4705,332.7,94,14.97,13.6,3,3.67,0
366-1084,246.8,98,11.11,12.3,10,3.32,0
348-4660,268.2,113,12.07,11.4,2,3.08,2
397-6542,260,97,11.7,8.7,4,2.35,1
404-4809,145.4,103,6.54,8.4,6,2.27,1
361-7283,222.6,117,10.02,7.9,5,2.13,1
372-4868,165.7,116,7.46,9.3,7,2.51,4
406-7844,280.8,99,12.64,7.9,2,2.13,2
406-2866,254.4,107,11.45,10.3,3,2.78,1
333-5729,164,147,7.38,11.6,2,3.13,2
391-1499,292.1,114,13.14,5,3,1.35,4
369-3626,238.6,69,10.74,8.6,3,2.32,2
358-7165,215.4,106,9.69,9.5,2,2.57,0
328-5188,153.2,86,6.89,10,3,2.7,1
378-1936,240.7,115,10.83,9,13,2.43,1
380-4374,244.1,119,10.98,11.8,4,3.19,0
387-1116,268.6,121,12.09,8.2,3,2.21,5
384-3413,255.3,96,11.49,6.3,2,1.7,6
396-4254,152.3,75,6.85,10,3,2.7,5
333-3010,172.7,120,7.77,8,2,2.16,6
353-3372,233.7,75,10.52,7.9,1,2.13,3
360-2329,219.3,101,9.87,13.9,2,3.75,1
385-1118,122.3,97,5.5,9.6,2,2.59,0
408-8269,212.1,90,9.54,10.1,4,2.73,2
413-9328,209,95,9.4,8.8,3,2.38,7
335-7144,201.4,108,9.06,14.3,3,3.86,3
406-8995,147.9,95,6.66,13.7,3,3.7,3
341-9890,136.1,85,6.12,13.8,3,3.73,2
344-1362,191.5,82,8.62,5.5,7,1.49,1
345-3947,224.7,58,10.11,8.9,8,2.4,3
379-5885,287.7,111,12.95,13.8,3,3.73,3
342-1004,87.4,77,3.93,13.9,2,3.75,4
405-5513,190.6,75,8.58,11.6,3,3.13,4
348-5728,178.2,104,8.02,10.5,3,2.84,2
345-4589,219.7,125,9.89,13.5,4,3.65,4
349-3005,210.1,91,9.45,8.7,2,2.35,4
411-2977,178,105,8.01,12,2,3.24,3
417-4456,235.4,116,10.59,8.5,5,2.3,0
421-1326,184.2,83,8.29,7.9,2,2.13,5
359-3423,242.7,119,10.92,8.2,3,2.21,2
385-7157,151,75,6.8,9.3,3,2.51,7
385-4766,229.2,110,10.31,14,9,3.78,2
389-8417,253,115,11.39,10.5,3,2.84,4
341-4873,284.5,93,12.8,11.7,2,3.16,4
394-5489,241.5,104,10.87,7.8,5,2.11,2
393-8762,215.7,118,9.71,10.3,2,2.78,5
366-8939,202,139,9.09,11,2,2.97,0
385-5688,288.1,85,12.96,7.1,5,1.92,0
416-3649,171.8,122,7.73,6.2,4,1.67,4
337-1586,244.3,132,10.99,10.2,2,2.75,2
415-5476,251.3,81,11.31,11.2,4,3.02,1
332-2650,201,94,9.05,12,3,3.24,4
345-6961,208.4,123,9.38,13.2,5,3.56,0
346-5992,168.2,109,7.57,15.8,3,4.27,6
402-3908,189.1,84,8.51,9.3,2,2.51,0
345-3787,260.1,121,11.7,10.8,3,2.92,1
369-8574,214.5,108,9.65,14.2,6,3.83,3
370-9622,213.4,82,9.6,12.3,4,3.32,3
351-2815,262.7,111,11.82,7.5,4,2.03,2
378-1884,197.7,118,8.9,8.8,3,2.38,3
384-6132,191.9,87,8.64,11.3,2,3.05,1
338-6714,169.5,106,7.63,10.3,9,2.78,5
334-6129,203.5,101,9.16,11.9,2,3.21,0
377-4975,47.4,73,2.13,3.9,9,1.05,4
411-6823,146.2,114,6.58,11,4,2.97,2
408-1913,251.7,99,11.33,11,6,2.97,3
367-5226,223.5,148,10.06,12.7,2,3.43,2
373-7974,229.4,109,10.32,12.9,4,3.48,2
345-3614,271.8,116,12.23,10,3,2.7,4
404-5840,184.6,49,8.31,10.9,3,2.94,4
335-7324,150,94,6.75,13.9,20,3.75,1
417-1488,156.8,103,7.06,10.4,4,2.81,0
330-7137,206.5,80,9.29,13.8,5,3.73,4
411-5677,120.1,133,5.4,9.7,4,2.62,4
409-1856,180.5,72,8.12,11.5,2,3.11,4
362-5899,227,56,10.22,13.6,3,3.67,5
